it 4
acc4_100=[0.6896, 0.68704, 0.68384, 0.68608, 0.68288, 0.688, 0.6896, 0.69408, 0.6944, 0.69152, 0.69152, 0.69056, 0.696, 0.68736, 0.68512, 0.68896, 0.68544, 0.67072, 0.65504, 0.63968]
acc4_90=[0.68448, 0.68864, 0.68832, 0.6912, 0.68608, 0.68672, 0.69344, 0.6944, 0.69632, 0.69152, 0.69248, 0.69216, 0.68544, 0.68928, 0.68736, 0.67904, 0.68192, 0.66688, 0.65952, 0.64576]
acc4_80=[0.68864, 0.68992, 0.68672, 0.68768, 0.68992, 0.69248, 0.69312, 0.69248, 0.6944, 0.696, 0.69664, 0.69184, 0.69056, 0.69248, 0.68928, 0.68512, 0.68256, 0.672, 0.65696, 0.6448]
acc4_70=[0.688, 0.68736, 0.68, 0.68256, 0.68576, 0.69312, 0.69248, 0.69568, 0.69824, 0.6912, 0.6896, 0.69088, 0.68608, 0.68768, 0.68736, 0.68256, 0.67648, 0.6672, 0.65568, 0.6464]
acc4_60=[0.68448, 0.68352, 0.68512, 0.68544, 0.6896, 0.688, 0.68992, 0.6944, 0.69024, 0.69184, 0.68864, 0.68672, 0.68768, 0.69088, 0.68672, 0.6848, 0.6752, 0.66496, 0.66304, 0.64096]
acc4_50=[0.68192, 0.68288, 0.68608, 0.68608, 0.68608, 0.68192, 0.68544, 0.68288, 0.6832, 0.68192, 0.68704, 0.68832, 0.68768, 0.68352, 0.6848, 0.67776, 0.6768, 0.66624, 0.65984, 0.63168]
acc4_40=[0.66976, 0.67104, 0.67488, 0.66944, 0.67328, 0.67296, 0.67392, 0.67136, 0.67776, 0.6736, 0.67424, 0.67392, 0.67872, 0.67456, 0.66784, 0.66496, 0.65792, 0.65344, 0.64896, 0.62592]
acc4_30=[0.65408, 0.65632, 0.65856, 0.6592, 0.6592, 0.65728, 0.65856, 0.65696, 0.65664, 0.65696, 0.6544, 0.65248, 0.65472, 0.65664, 0.65568, 0.64672, 0.6544, 0.65664, 0.64288, 0.60416]
acc4_20=[0.62688, 0.62144, 0.6272, 0.6272, 0.63232, 0.63104, 0.63296, 0.63456, 0.63552, 0.63808, 0.63712, 0.63552, 0.63328, 0.63616, 0.63072, 0.62464, 0.61792, 0.62176, 0.60416, 0.56608]
acc4_10=[0.60448, 0.6016, 0.60576, 0.60992, 0.60512, 0.6, 0.60192, 0.6, 0.59648, 0.60192, 0.5968, 0.59488, 0.5952, 0.59136, 0.5936, 0.58144, 0.58272, 0.58624, 0.5856, 0.55104]
acc4= [acc4_100,acc4_80,acc4_60,acc4_40,acc4_20]
